"Code","Latitude","Longitude","Cell","Station","Date_in","Date_out","Année","Collecteur","Code site","Nom du site","Passive/active","Sorter","Number of specimens","Notes","Code ID","ID","IDENTIFIER","NUMBER OF SPECIMEN","MALE","FEMALE","SEX INDETERMINATE","IDENTIFICATION NOTE","DATE OF IDENTIFICATION","IDENTIFICATION METHOD","QR code","Recorder?","Unique","Source","Date","RightCell"
"79_1_80623_LB_a_ep.el","497317722","61399502",79,"1",NA,"80623",2023,"Lydia Barrouche",NA,NA,"a",NA,NA,"a","ep.el","Epistrophe eligans","Stephanie Lippert",1,1,0,NA,NA,"050924","morphological",NA,NA,"Unique","Hand netting",2023-06-08,NA
"79_1_80623_LB_a_ep.ba","497317722","61399502",79,"1",NA,"80623",2023,"Lydia Barrouche",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"050924","morphological",NA,NA,"Unique","Hand netting",2023-06-08,NA
"7_2_290623_CAP_a_ep.ba","501250796","60976227",7,"2","NA","290623",2023,"Chanistya Ayu Purnomo",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"050924","morphological",NA,NA,"Unique","Hand netting",2023-06-29,NA
"66_3_160623_AL+SL+MM_a_ep.ba","49750109","6012777",66,"3","NA","160623",2023,"Amanda Luttringer + Stephanie Lippert+ Manon Michea",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"050924","morphological",NA,NA,"Unique","Hand netting",2023-06-16,NA
"66_3_160623_AL+SL+MM_a_my.fl","49750109","6012777",66,"3","NA","160623",2023,"Amanda Luttringer + Stephanie Lippert+ Manon Michea",NA,NA,"a",NA,NA,"a","my.fl","Myathropa florea","Stephanie Lippert",NA,NA,NA,NA,NA,"050924","morphological",NA,NA,"Unique","Hand netting",2023-06-16,NA
"26_1_140623_AL_a_ep.ba","499304691","57925395",26,"1","NA","140623",2023,"Amanda Luttringer",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"050924","morphological",NA,NA,"Unique","Hand netting",2023-06-14,NA
"14_1_270623_CAP+AL_a_ep.ba","500180151","59208409",14,"1","NA","270623",2023,"Chanistya Ayu Purnomo + Amanda Luttringer",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"050924","morphological",NA,NA,"Unique","Hand netting",2023-06-27,NA
"66_2_160623_AL+SL+MM_a_my.fl","497762722","60180553",66,"2","NA","160623",2023,"Amanda Luttringer + Stephanie Lippert+ Manon Michea",NA,NA,"a",NA,NA,"a","my.fl","Myathropa florea","Stephanie Lippert",NA,NA,NA,NA,NA,"050924","morphological",NA,NA,"Unique","Hand netting",2023-06-16,NA
"40_1_160623_SS+LB_a_ep.ba","49882347","6253519",40,"1","NA","160623",2023,"Sam Schaack + Lydia Barrouche",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"60924","morphological",NA,NA,"Unique","Hand netting",2023-06-16,NA
"79_2_120623_LB_a_ep.ba","497399871","61861711",79,"2",NA,"120623",2023,"Lydia Barrouche",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"60924","morphological",NA,NA,"Unique","Hand netting",2023-06-12,NA
"37_1_150623_SS_a_ep.ba","49903421","6022247",37,"1","NA","150623",2023,"Sam Schaack",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"60924","morphological",NA,NA,"Unique","Hand netting",2023-06-15,NA
"15_1_210623_OK + SS_a_ep.ba","500348969","59748878",15,"1","NA","210623",2023,"Olivier Kirsch + Sam Schaack",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Stephanie Lippert",NA,NA,NA,NA,NA,"60924","morphological",NA,NA,"Unique","Hand netting",2023-06-21,NA
"37_1_180723_SS_a_sp.","49903421","6022247",37,"1","NA","180723",2023,"Sam Schaack",NA,NA,"a",NA,NA,"a","sp.","Sphaerophoria","Ghislain Delalle",1,0,1,0,NA,"60924","morphological","MNHNL130637",NA,"Unique","Hand netting",2023-07-18,NA
"14_1_200923_CAP_a_ep.ba","500461266","59015144",14,"1","NA","200923",2023,"Chanistya Ayu Purnomo",NA,NA,"a",NA,NA,"a","ep.ba","Episyrphus balteatus","Laura Edo Aceña",NA,NA,NA,NA,NA,"60924","morphological",NA,NA,"Unique","Hand netting",2023-09-20,NA
"41_1_040923_AL_a_sp.","49850023","5790564",41,"1","NA","040923",2023,"Amamda Luttringer",NA,NA,"a",NA,NA,"a","sp.","Sphaerophoria","Ghislain Delalle",1,0,1,NA,NA,"120924","morphological","MNHNL164515",NA,"Unique","Hand netting",2023-09-04,NA
"2_6_190623_CAP_a_er.te","501523077","60274601",2,"6","NA","190623",2023,"Chanistya Ayu Purnomo",NA,NA,"a",NA,NA,"a","er.te","Eristalis tenax","Ghislain Delalle",1,0,1,NA,NA,"021024","morphological","MNHNL164920",NA,"Unique","Hand netting",2023-06-19,NA
"19_4_130623_AL+SL_a_br.le","49990153","5853437",19,"4",NA,"130623",2023,"Amanda Luttringer + Stephanie Lippert",NA,NA,"a",NA,NA,"a","br.le","Brachypalpoides lentus","Laura Edo Aceña",1,1,0,NA,NA,"150425","Morphological","MNHNL172941",NA,"Unique","Hand netting",2023-06-13,NA
"40_1_160623_SS+LB_a_xy.se","49882347","6253519",40,"1","NA","160623",2023,"Sam Schaack + Lydia Barrouche",NA,NA,"a",NA,NA,"a","xy.se","Xylota segnis","Laura Edo Aceña",1,0,1,NA,NA,"170425","Morphological","MNHNL172972",NA,"Unique","Hand netting",2023-06-16,NA
